id,user,likes,dislikes,followers
2,skilmurray1,660,937,19363
3,vhowgego2,2576,3475,14850
6,bhutchence5,1571,1912,13229
7,epetr6,1997,2613,10507
14,phigbind,945,1381,10493
30,kdalgarnot,2983,3055,16294
32,nthurlbeckv,2969,3472,17428
33,scroalw,1921,2835,10638
35,cmarshamy,3145,3457,16945
36,flagez,795,1818,10438
37,loates10,784,3431,16391
42,kitzakovitz15,1446,3021,16686
47,srowett1a,1414,2036,16085
48,ahodgins1b,687,3342,10522
59,nkubicek1m,1148,2793,12417
64,snoller1r,2903,3387,16409
65,cfriday1s,1771,3003,15884
67,chintzer1u,745,2500,10966
68,svasin1v,1083,2984,19974
83,wjeavon2a,611,2074,13351
88,lholbarrow2f,1391,2942,14365
90,malexis2h,1060,2243,12066
93,dgoracci2k,721,2237,13562
99,apetrecz2q,2195,2609,12029
